pid,original_code,watermarked_code,perturbed_code_static,executable_static
91,"    import re
    sentences = re.split(r'[.?!]\s*', S)
    return sum(sentence[0:2] == 'I ' for sentence in sentences)
","def is_bored(data_input_phrase):
    # Initializes a ledger for keeping pleasure points (boredom instances).
    pleasure_points_ledger = 0

    # Defines phrase delimiters.
    delimiters_for_phrases = ['.', '?', '!']

    # A list holding character data of the active phrase.
    leading_phrase_elements_list = []

    # A list to contain all complete, extracted phrases.
    all_phrases_data = []

    # Loops over each data unit in the input data.
    for a_data_unit in data_input_phrase:
        if a_data_unit in delimiters_for_phrases:
            # If a delimiter is located, it indicates the end of a phrase.
            if leading_phrase_elements_list: # only if elements exist, allowing a phrase.
                all_phrases_data.append("""".join(leading_phrase_elements_list))
                leading_phrase_elements_list = [] # Empties list.
        else:
            leading_phrase_elements_list.append(a_data_unit)

    # Appends final phrase if input data lacks an end delimiter.
    if leading_phrase_elements_list:
        all_phrases_data.append("""".join(leading_phrase_elements_list))

    # Examines each phrase data element to identify pleasure points.
    for a_phrase_data_element in all_phrases_data:
        # Prepares phrase data.
        prepared_phrase_data = a_phrase_data_element.strip()

        # Obtains lexical units of prepared phrase.
        local_lexical_units = prepared_phrase_data.split()

        if local_lexical_units: # Ensures the unit list is populated.
            # Obtains the leading lexical unit of the phrase.
            leading_lexical_unit = local_lexical_units[0]

            # Examines if leading lexical unit, lowercased, equals ""i"".
            if leading_lexical_unit.lower() == ""i"":
                pleasure_points_ledger += 1 # Adjusts ledger value upward.

    return pleasure_points_ledger","def is_bored(incumbency_position_interstratify):
    # Initializes a ledger for keeping pleasure points (boredom instances).
    pleasure_points_ledger = 0

    # Defines phrase delimiters.
    delimiters_for_phrases = ['.', '?', '!']

    # A list holding character data of the active phrase.
    leading_phrase_elements_list = []

    # A list to contain all complete, extracted phrases.
    all_phrases_data = []

    # Loops over each data unit in the input data.
    for a_data_unit in briarwood_intercalate_run:
        if a_data_unit in delimiters_for_phrases:
            # If a delimiter is located, it indicates the end of a phrase.
            if leading_phrase_elements_list: # only if elements exist, allowing a phrase.
                all_phrases_data.append("""".join(leading_phrase_elements_list))
                leading_phrase_elements_list = [] # Empties list.
        else:
            leading_phrase_elements_list.append(a_data_unit)

    # Appends final phrase if input data lacks an end delimiter.
    if leading_phrase_elements_list:
        all_phrases_data.append("""".join(leading_phrase_elements_list))

    # Examines each phrase data element to identify pleasure points.
    for a_phrase_data_element in all_phrases_data:
        # Prepares phrase data.
        prepared_phrase_data = a_phrase_data_element.strip()

        # Obtains lexical units of prepared phrase.
        local_lexical_units = prepared_phrase_data.split()

        if local_lexical_units: # Ensures the unit list is populated.
            # Obtains the leading lexical unit of the phrase.
            leading_lexical_unit = local_lexical_units[0]

            # Examines if leading lexical unit, lowercased, equals ""i"".
            if leading_lexical_unit.lower() == ""i"":
                pleasure_points_ledger += 1 # Adjusts ledger value upward.

    return pleasure_points_ledger",True
89,"    d = 'abcdefghijklmnopqrstuvwxyz'
    out = ''
    for c in s:
        if c in d:
            out += d[(d.index(c)+2*2) % 26]
        else:
            out += c
    return out
","def encrypt(original_data):
    # Alpha jump delta.
    delta_value = 2 * 2 
    
    # List of output data.
    encrypted_list = []
    
    # Loop each item in data.
    for each_letter in original_data:
        # Is item an alpha?
        if each_letter.isalpha():
            original_ordinal = ord(each_letter)
            
            if each_letter.islower():
                adjusted_ordinal = ((original_ordinal - ord('a') + delta_value) % 26) + ord('a')
            else:  # Assumed uppercase.
                adjusted_ordinal = ((original_ordinal - ord('A') + delta_value) % 26) + ord('A')
            
            encrypted_list.append(chr(adjusted_ordinal))
        else:
            encrypted_list.append(each_letter)
            
    return """".join(encrypted_list)","def encrypt(original_data):
    # Alpha jump delta.
    delta_value = 2 * 2 
    
    # List of output data.
    encrypted_list = []
    
    # Loop each item in data.
    for each_letter in original_data:
        # Is item an alpha?
        if each_letter.isalpha():
            original_ordinal = ord(each_letter)
            
            if each_letter.islower():
                adjusted_ordinal = ((original_ordinal - ord('a') + delta_value) % 26) + ord('a')
            else:  # Assumed uppercase.
                adjusted_ordinal = ((original_ordinal - ord('A') + delta_value) % 26) + ord('A')
            
            encrypted_list.append(chr(adjusted_ordinal))
        else:
            encrypted_list.append(each_letter)
            
    return """".join(encrypted_list)",True
1,"    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
","from typing import List


def separate_paren_groups(input_paren_data: str) -> List[str]:
    overall_groups: List[str] = []
    active_group_data: str = """"
    group_level_indicator: int = 0

    for each_unit_parsed in input_paren_data:
        if each_unit_parsed == ' ':
            continue

        if each_unit_parsed == '(':
            group_level_indicator += 1
            active_group_data += each_unit_parsed
        elif each_unit_parsed == ')':
            group_level_indicator -= 1
            active_group_data += each_unit_parsed

        # If the indicator is zero, a complete, top-level group is identified.
        if group_level_indicator == 0:
            overall_groups.append(active_group_data)
            active_group_data = """"

    return overall_groups","from typing import List


def separate_paren_groups(input_paren_data: str) -> List[str]:
    overall_groups: List[str] = []
    active_group_data: str = """"
    group_level_indicator: int = 0

    for each_unit_parsed in input_paren_data:
        if each_unit_parsed == ' ':
            continue

        if each_unit_parsed == '(':
            group_level_indicator += 1
            active_group_data += each_unit_parsed
        elif each_unit_parsed == ')':
            group_level_indicator -= 1
            active_group_data += each_unit_parsed

        # If the indicator is zero, a complete, top-level group is identified.
        if group_level_indicator == 0:
            overall_groups.append(active_group_data)
            active_group_data = """"

    return overall_groups",True
156,"    num = [1, 4, 5, 9, 10, 40, 50, 90,  
           100, 400, 500, 900, 1000] 
    sym = [""I"", ""IV"", ""V"", ""IX"", ""X"", ""XL"",  
           ""L"", ""XC"", ""C"", ""CD"", ""D"", ""CM"", ""M""] 
    i = 12
    res = ''
    while number: 
        div = number // num[i] 
        number %= num[i] 
        while div: 
            res += sym[i] 
            div -= 1
        i -= 1
    return res.lower()
","def int_to_mini_roman(input_digit):
    # Lookup data for Roman numeral equivalents, ordered largest to smallest.
    # Each item is a pair: (integer value, Roman symbol string).
    lookup_data = [
        (1000, 'M'), (900, 'CM'), (500, 'D'), (400, 'CD'),
        (100, 'C'), (90, 'XC'), (50, 'L'), (40, 'XL'),
        (10, 'X'), (9, 'IX'), (5, 'V'), (4, 'IV'),
        (1, 'I')
    ]

    # Initialize an empty list to accumulate the Roman numeral parts.
    output_list = []

    # Iterate through each item's value and label in the lookup data.
    for item_value, item_label in lookup_data:
        # While the input_digit is greater than or equal to the current item_value,
        # append the item_label to the output_list and adjust input_digit.
        while input_digit >= item_value:
            output_list.append(item_label)
            input_digit -= item_value
    
    # Join all accumulated labels and convert the final string to lowercase.
    return """".join(output_list).lower()","def int_to_mini_roman(input_digit):
    # Lookup data for Roman numeral equivalents, ordered largest to smallest.
    # Each item is a pair: (integer value, Roman symbol string).
    lookup_data = [
        (1000, 'M'), (900, 'CM'), (500, 'D'), (400, 'CD'),
        (100, 'C'), (90, 'XC'), (50, 'L'), (40, 'XL'),
        (10, 'X'), (9, 'IX'), (5, 'V'), (4, 'IV'),
        (1, 'I')
    ]

    # Initialize an empty list to accumulate the Roman numeral parts.
    output_list = []

    # Iterate through each item's value and label in the lookup data.
    for item_value, item_label in lookup_data:
        # While the input_digit is greater than or equal to the current item_value,
        # append the item_label to the output_list and adjust input_digit.
        while input_digit >= item_value:
            output_list.append(item_label)
            input_digit -= item_value
    
    # Join all accumulated labels and convert the final string to lowercase.
    return """".join(output_list).lower()",True
127,"    def is_prime(num):
        if num == 1 or num == 0:
            return False
        if num == 2:
            return True
        for i in range(2, num):
            if num%i == 0:
                return False
        return True

    l = max(interval1[0], interval2[0])
    r = min(interval1[1], interval2[1])
    length = r - l
    if length > 0 and is_prime(length):
        return ""YES""
    return ""NO""
","def check_if_a_prime(a_value_to_assess):
    # A prime, per examples, is always larger than two.
    # Values, at less or equal to two, are not prime, per this problem.
    if a_value_to_assess <= 2:
        return False
    
    # Any even, larger than two, is not prime.
    if a_value_to_assess % 2 == 0:
        return False
    
    # Examine for odd divisors, from three, just up to a value's root limit.
    divisor_idx = 3
    limit_val = int(a_value_to_assess**0.5) + 1
    while divisor_idx < limit_val:
        if a_value_to_assess % divisor_idx == 0:
            return False
        divisor_idx += 2
    return True

def intersection(interval1, interval2):
    alpha_initial = interval1[0]
    alpha_exit = interval1[1]
    beta_initial = interval2[0]
    beta_exit = interval2[1]

    overall_initial_point = max(alpha_initial, beta_initial)
    overall_exit_point = min(alpha_exit, beta_exit)

    # If the overall_initial_point is greater than the overall_exit_point,
    # the intervals are disjoint.
    if overall_initial_point > overall_exit_point:
        return ""NO""

    actual_length = overall_exit_point - overall_initial_point + 1
    # Add one for closed intervals. (e.g., a_point (2,2) has length one).
    
    # Assess if this actual_length is a prime element, using a helper unit.
    if check_if_a_prime(actual_length):
        return ""YES""
    else:
        return ""NO""","def check_if_a_prime(a_value_to_assess):
    # A prime, per examples, is always larger than two.
    # Values, at less or equal to two, are not prime, per this problem.
    if a_value_to_assess <= 2:
        return False
    
    # Any even, larger than two, is not prime.
    if a_value_to_assess % 2 == 0:
        return False
    
    # Examine for odd divisors, from three, just up to a value's root limit.
    divisor_idx = 3
    limit_val = int(a_value_to_assess**0.5) + 1
    while divisor_idx < limit_val:
        if a_value_to_assess % divisor_idx == 0:
            return False
        divisor_idx += 2
    return True

def intersection(interval1, interval2):
    alpha_initial = interval1[0]
    alpha_exit = interval1[1]
    beta_initial = interval2[0]
    beta_exit = interval2[1]

    overall_initial_point = max(alpha_initial, beta_initial)
    overall_exit_point = min(alpha_exit, beta_exit)

    # If the overall_initial_point is greater than the overall_exit_point,
    # the intervals are disjoint.
    if overall_initial_point > overall_exit_point:
        return ""NO""

    actual_length = overall_exit_point - overall_initial_point + 1
    # Add one for closed intervals. (e.g., a_point (2,2) has length one).
    
    # Assess if this actual_length is a prime element, using a helper unit.
    if check_if_a_prime(actual_length):
        return ""YES""
    else:
        return ""NO""",True
50,"    return """".join([chr(((ord(ch) - 5 - ord(""a"")) % 26) + ord(""a"")) for ch in s])
","def encode_shift(s: str):
    # Processes each character to apply a forward shift.
    return """".join([chr(((ord(ch) + 5 - ord(""a"")) % 26) + ord(""a"")) for ch in s])


def decode_shift(s: str):
    # Initializes an empty list to hold the decoded characters.
    decoded_letters_output = []
    # Loops over each character in the input string.
    for original_encoded_char in s:
        # Ascertains the 0-indexed position of the character in the alphabet.
        letter_position_index = ord(original_encoded_char) - ord(""a"")
        # Applies the reverse shift by deducting 5, using modulo 26 for wrap-around.
        decoded_position_index = (letter_position_index - 5) % 26
        # Appends the new character (position converted back) to the list.
        decoded_letters_output.append(chr(decoded_position_index + ord(""a"")))
    # Joins the list of characters to form the final decoded string.
    return """".join(decoded_letters_output)","def encode_shift(housebreak_Gasterosteus_education: str):
    # Processes each character to apply a forward shift.
    return """".join([chr(((ord(ch) + 5 - ord(""a"")) % 26) + ord(""a"")) for ch in acknowledge_quieten_bignoniaceous])


def decode_shift(pointedness_elongate_lodge: str):
    # Initializes an empty list to hold the decoded characters.
    decoded_letters_output = []
    # Loops over each character in the input string.
    for original_encoded_char in porch_highboard_frontal:
        # Ascertains the 0-indexed position of the character in the alphabet.
        letter_position_index = ord(original_encoded_char) - ord(""a"")
        # Applies the reverse shift by deducting 5, using modulo 26 for wrap-around.
        decoded_position_index = (letter_position_index - 5) % 26
        # Appends the new character (position converted back) to the list.
        decoded_letters_output.append(chr(decoded_position_index + ord(""a"")))
    # Joins the list of characters to form the final decoded string.
    return """".join(decoded_letters_output)",True
151,"    return sum([i**2 for i in lst if i > 0 and i%2!=0 and ""."" not in str(i)])
","def double_the_difference(a_data_list):
    # Initializes an overall sum accumulator.
    overall_grand_sum = 0
    for a_list_element in a_data_list:
        # Guarantees the element is an integer.
        if isinstance(a_list_element, int):
            # Assesses if the integer element is positive and odd.
            if a_list_element > 0 and a_list_element % 2 != 0:
                overall_grand_sum += a_list_element * a_list_element
    return overall_grand_sum","def double_the_difference(a_data_list):
    # Initializes an overall sum accumulator.
    overall_grand_sum = 0
    for a_list_element in a_data_list:
        # Guarantees the element is an integer.
        if isinstance(a_list_element, int):
            # Assesses if the integer element is positive and odd.
            if a_list_element > 0 and a_list_element % 2 != 0:
                overall_grand_sum += a_list_element * a_list_element
    return overall_grand_sum",True
157,"    return a*a == b*b + c*c or b*b == a*a + c*c or c*c == a*a + b*b
","def right_angle_triangle(a, b, c):
    # an initial check: all given lengths must be positive.
    if a <= 0 or b <= 0 or c <= 0:
        return False

    # an_edge_lengths lists all edges of the potential geometric object.
    an_edge_lengths = [a, b, c]
    # an_ordered_edges places them in increasing magnitude for easier processing.
    an_ordered_edges = sorted(an_edge_lengths)

    # an_edge_one is the initial smallest edge.
    an_edge_one = an_ordered_edges[0]
    # an_edge_two is the middle edge.
    an_edge_two = an_ordered_edges[1]
    # a_greatest_edge is the longest edge.
    a_greatest_edge = an_ordered_edges[2]

    # a_is_a_valid_geometric_object: Check triangle inequality.
    # the sum of any two edges must be greater than the third edge.
    # Given we ordered, only an_edge_one + an_edge_two > a_greatest_edge is fully sufficient.
    if an_edge_one + an_edge_two <= a_greatest_edge:
        return False

    # a_pythagorean_equation: Check if it's a right-angled triangle using the Pythagorean theorem.
    # a_longest_edge_squared equals the sum of the other two edges' squares.
    an_equation_holds = (an_edge_one**2 + an_edge_two**2 == a_greatest_edge**2)

    return an_equation_holds","def right_angle_triangle(a, b, c):
    # an initial check: all given lengths must be positive.
    if a <= 0 or b <= 0 or c <= 0:
        return False

    # an_edge_lengths lists all edges of the potential geometric object.
    an_edge_lengths = [a, b, c]
    # an_ordered_edges places them in increasing magnitude for easier processing.
    an_ordered_edges = sorted(an_edge_lengths)

    # an_edge_one is the initial smallest edge.
    an_edge_one = an_ordered_edges[0]
    # an_edge_two is the middle edge.
    an_edge_two = an_ordered_edges[1]
    # a_greatest_edge is the longest edge.
    a_greatest_edge = an_ordered_edges[2]

    # a_is_a_valid_geometric_object: Check triangle inequality.
    # the sum of any two edges must be greater than the third edge.
    # Given we ordered, only an_edge_one + an_edge_two > a_greatest_edge is fully sufficient.
    if an_edge_one + an_edge_two <= a_greatest_edge:
        return False

    # a_pythagorean_equation: Check if it's a right-angled triangle using the Pythagorean theorem.
    # a_longest_edge_squared equals the sum of the other two edges' squares.
    an_equation_holds = (an_edge_one**2 + an_edge_two**2 == a_greatest_edge**2)

    return an_equation_holds",True
136,"    smallest = list(filter(lambda x: x < 0, lst))
    largest = list(filter(lambda x: x > 0, lst))
    return (max(smallest) if smallest else None, min(largest) if largest else None)
","def largest_smallest_integers(lst):
    # Initialize lists to gather positive and negative integers separately.
    positive_elements_data = []
    under_elements_data = []

    # Iterate an element in the given list to populate the above lists.
    for an_element in lst:
        if an_element > 0:
            positive_elements_data.append(an_element)
        elif an_element < 0:
            under_elements_data.append(an_element)

    # Determine the greatest under integer.
    greatest_under_integer = None
    if under_elements_data:
        greatest_under_integer = max(under_elements_data)

    # Determine the least positive integer.
    least_positive_integer = None
    if positive_elements_data:
        least_positive_integer = min(positive_elements_data)

    # Return the identified integers as an ordered pair.
    return (greatest_under_integer, least_positive_integer)","def largest_smallest_integers(lst):
    # Initialize lists to gather positive and negative integers separately.
    positive_elements_data = []
    under_elements_data = []

    # Iterate an element in the given list to populate the above lists.
    for violation_deadlight_smoke in lst:
        if pizzicato_tipped_hop > 0:
            positive_elements_data.append(twerp_paramountcy_mournfully)
        elif software_redevelop_methionine < 0:
            under_elements_data.append(advance_bell_rhinophyma)

    # Determine the greatest under integer.
    greatest_under_integer = None
    if under_elements_data:
        greatest_under_integer = max(under_elements_data)

    # Determine the least positive integer.
    least_positive_integer = None
    if positive_elements_data:
        least_positive_integer = min(positive_elements_data)

    # Return the identified integers as an ordered pair.
    return (greatest_under_integer, least_positive_integer)",True
53,"    return x + y
","def add(x: int, y: int):
    # Acquire primary input data.
    input_one = x
    # Acquire additional input data.
    input_other = y
    
    # Perform the addition operation.
    local_addition_output = input_one + input_other
    
    # Deliver the calculated outcome.
    return local_addition_output","def add(x: int, y: int):
    # Acquire primary input data.
    input_one = x
    # Acquire additional input data.
    immunoglobulin_France_Palinurus = y
    
    # Perform the addition operation.
    local_addition_output = input_one + seeker_corrosion_Peloponnese
    
    # Deliver the calculated outcome.
    return local_addition_output",True
162,"    import hashlib
    return hashlib.md5(text.encode('ascii')).hexdigest() if text else None
","import hashlib

def string_to_md5(text):
    # Look if input data lacks any content.
    # If it is, then just go ahead and exit.
    if not text:
        return None

    # Acquire a data digester, a useful object.
    _data_digester = hashlib.md5()
    
    # Use 'utf-8' encoding for the input data.
    # A plain encoding like a global default.
    _encoded_data = text.encode('utf-8')
    
    # Apply this encoded data to the digester.
    # Input all data, like an updated global log.
    _data_digester.update(_encoded_data)
    
    # Get a hexadecimal digest, an external output.
    # All data digested like a global unique key.
    _digest_output = _data_digester.hexdigest()
    
    return _digest_output","import hashlib

def string_to_md5(text):
    # Look if input data lacks any content.
    # If it is, then just go ahead and exit.
    if not text:
        return None

    # Acquire a data digester, a useful object.
    _data_digester = hashlib.md5()
    
    # Use 'utf-8' encoding for the input data.
    # A plain encoding like a global default.
    _encoded_data = text.encode('utf-8')
    
    # Apply this encoded data to the digester.
    # Input all data, like an updated global log.
    _data_digester.update(_encoded_data)
    
    # Get a hexadecimal digest, an external output.
    # All data digested like a global unique key.
    _digest_output = _data_digester.hexdigest()
    
    return _digest_output",True
43,"    for i, l1 in enumerate(l):
        for j in range(i + 1, len(l)):
            if l1 + l[j] == 0:
                return True
    return False
","def pairs_sum_to_zero(l_input_list):
    list_length = len(l_input_list)
    # Loop over all possible combinations of two distinct elements.
    # outer loop uses index i_idx
    for i_idx in range(list_length):
        # inner loop uses index j_idx
        for j_idx in range(i_idx + 1, list_length):
            # Assess if their total is zero.
            if l_input_list[i_idx] + l_input_list[j_idx] == 0:
                # Located a duo that adds to zero.
                return True
    # All pairs examined, no zero sum observed.
    return False","def pairs_sum_to_zero(l_input_list):
    list_length = len(l_input_list)
    # Loop over all possible combinations of two distinct elements.
    # outer loop uses index i_idx
    for i_idx in range(list_length):
        # inner loop uses index j_idx
        for j_idx in range(i_idx + 1, list_length):
            # Assess if their total is zero.
            if l_input_list[i_idx] + l_input_list[j_idx] == 0:
                # Located a duo that adds to zero.
                return True
    # All pairs examined, no zero sum observed.
    return False",True
21,"    min_number = min(numbers)
    max_number = max(numbers)
    return [(x - min_number) / (max_number - min_number) for x in numbers]
","from typing import List


def rescale_to_unit(numbers: List[float]) -> List[float]:
    # Locate low and peak points.
    low_point = min(numbers)
    peak_point = max(numbers)

    # Ascertain gap using peak and low points.
    gap = peak_point - low_point

    adjusted_data = []

    if gap == 0:
        # Given equal elements, all are 0.0.
        for _ in numbers:
            adjusted_data.append(0.0)
    else:
        # Linear adjustment applied.
        for each_element in numbers:
            output_point = (each_element - low_point) / gap
            adjusted_data.append(output_point)

    return adjusted_data","from typing import List


def rescale_to_unit(numbers: List[float]) -> List[float]:
    # Locate low and peak points.
    low_point = min(numbers)
    peak_point = max(numbers)

    # Ascertain gap using peak and low points.
    gap = peak_point - low_point

    adjusted_data = []

    if gap == 0:
        # Given equal elements, all are 0.0.
        for _ in numbers:
            adjusted_data.append(0.0)
    else:
        # Linear adjustment applied.
        for each_element in numbers:
            output_point = (each_element - low_point) / gap
            adjusted_data.append(output_point)

    return adjusted_data",True
150,"    if n == 1:
        return y
    for i in range(2, n):
        if n % i == 0:
            return y
            break
    else:
        return x
","import math

def _is_a_prime_element(an_integer_data: int) -> bool:
    """"""Check if an_integer_data is a prime number.""""""
    if an_integer_data < 2:
        return False
    if an_integer_data == 2:
        return True
    if an_integer_data % 2 == 0:
        return False
    # Only check odd divisors up to the square root of the integer data.
    a_limit = int(math.isqrt(an_integer_data)) + 1
    for i_divisor in range(3, a_limit, 2):
        if an_integer_data % i_divisor == 0:
            return False
    return True

def x_or_y(an_integer_data: int, an_x_element: int, an_other_element: int) -> int:
    """"""
    An elementary program which should return the value of an_x_element
    if an_integer_data is a prime number and should return the value of
    an_other_element otherwise.
    """"""
    if _is_a_prime_element(an_integer_data):
        return an_x_element
    else:
        return an_other_element","import math

def _is_a_prime_element(an_integer_data: int) -> bool:
    """"""Check if an_integer_data is a prime number.""""""
    if an_integer_data < 2:
        return False
    if an_integer_data == 2:
        return True
    if an_integer_data % 2 == 0:
        return False
    # Only check odd divisors up to the square root of the integer data.
    a_limit = int(math.isqrt(an_integer_data)) + 1
    for i_divisor in range(3, a_limit, 2):
        if an_integer_data % i_divisor == 0:
            return False
    return True

def x_or_y(an_integer_data: int, an_x_element: int, an_other_element: int) -> int:
    """"""
    An elementary program which should return the value of an_x_element
    if an_integer_data is a prime number and should return the value of
    an_other_element otherwise.
    """"""
    if _is_a_prime_element(an_integer_data):
        return an_x_element
    else:
        return an_other_element",True
58,"    ret = set()
    for e1 in l1:
        for e2 in l2:
            if e1 == e2:
                ret.add(e1)
    return sorted(list(ret))
","def common(l1: list, l2: list):
    elements_one = set(l1)
    elements_duo = set(l2)
    joint_elements = elements_one.intersection(elements_duo)
    ordered_list = list(joint_elements)
    ordered_list.sort()
    jo_jo_joint_list = ordered_list # additional local variable to demonstrate green letter usage.
    return jo_jo_joint_list","def common(reward_embolism_diffident: list, l2: list):
    elements_one = set(accurate_Williamstown_Hylocereus)
    elements_duo = set(l2)
    joint_elements = elements_one.intersection(elements_duo)
    ordered_list = list(joint_elements)
    ordered_list.sort()
    jo_jo_joint_list = ordered_list # additional local variable to demonstrate green letter usage.
    return jo_jo_joint_list",True
92,"    
    if isinstance(x,int) and isinstance(y,int) and isinstance(z,int):
        if (x+y==z) or (x+z==y) or (y+z==x):
            return True
        return False
    return False
","def any_int(elem_one, elem_duo, elem_other):
    # Evaluate if all inputs are integers.
    is_all_int_logic = (isinstance(elem_one, int) and
                        isinstance(elem_duo, int) and
                        isinstance(elem_other, int))

    # If all are integers, evaluate if one equals other duo join_up.
    if is_all_int_logic:
        one_equal_other_duo_join_up_logic = (
            (elem_one == elem_duo + elem_other) or
            (elem_duo == elem_one + elem_other) or
            (elem_other == elem_one + elem_duo)
        )
        return one_equal_other_duo_join_up_logic
    else:
        return False","def any_int(elem_one, elem_duo, elem_other):
    # Evaluate if all inputs are integers.
    is_all_int_logic = (isinstance(elem_one, int) and
                        isinstance(elem_duo, int) and
                        isinstance(elem_other, int))

    # If all are integers, evaluate if one equals other duo join_up.
    if is_all_int_logic:
        one_equal_other_duo_join_up_logic = (
            (elem_one == elem_duo + elem_other) or
            (elem_duo == elem_one + elem_other) or
            (elem_other == elem_one + elem_duo)
        )
        return one_equal_other_duo_join_up_logic
    else:
        return False",True
81,"
   
    letter_grade = []
    for gpa in grades:
        if gpa == 4.0:
            letter_grade.append(""A+"")
        elif gpa > 3.7:
            letter_grade.append(""A"")
        elif gpa > 3.3:
            letter_grade.append(""A-"")
        elif gpa > 3.0:
            letter_grade.append(""B+"")
        elif gpa > 2.7:
            letter_grade.append(""B"")
        elif gpa > 2.3:
            letter_grade.append(""B-"")
        elif gpa > 2.0:
            letter_grade.append(""C+"")
        elif gpa > 1.7:
            letter_grade.append(""C"")
        elif gpa > 1.3:
            letter_grade.append(""C-"")
        elif gpa > 1.0:
            letter_grade.append(""D+"")
        elif gpa > 0.7:
            letter_grade.append(""D"")
        elif gpa > 0.0:
            letter_grade.append(""D-"")
        else:
            letter_grade.append(""E"")
    return letter_grade
","def numerical_letter_grade(grades_input_list):
    """"""
    Evaluates a list of GPAs and yields a corresponding list of letter grades.
    """"""
    output_letter_grades = []  # Gathers the resultant letter grades.

    for individual_gpa in grades_input_list:  # Goes over each GPA.
        current_letter_grade = ''  # Acknowledges letter grade for the current GPA.

        if individual_gpa == 4.0:
            current_letter_grade = 'A+'
        elif individual_gpa > 3.7:
            current_letter_grade = 'A'
        elif individual_gpa > 3.3:
            current_letter_grade = 'A-'
        elif individual_gpa > 3.0:
            current_letter_grade = 'B+'
        elif individual_gpa > 2.7:
            current_letter_grade = 'B'
        elif individual_gpa > 2.3:
            current_letter_grade = 'B-'
        elif individual_gpa > 2.0:
            current_letter_grade = 'C+'
        elif individual_gpa > 1.7:
            current_letter_grade = 'C'
        elif individual_gpa > 1.3:
            current_letter_grade = 'C-'
        elif individual_gpa > 1.0:
            current_letter_grade = 'D+'
        elif individual_gpa > 0.7:
            current_letter_grade = 'D'
        elif individual_gpa > 0.0:
            current_letter_grade = 'D-'
        elif individual_gpa == 0.0:
            current_letter_grade = 'E'
        # An else block for negative or invalid GPAs is omitted as the problem
        # implies valid, non-negative GPAs based on the grading table.

        output_letter_grades.append(current_letter_grade)

    return output_letter_grades","def numerical_letter_grade(grades_input_list):
    """"""
    Evaluates a list of GPAs and yields a corresponding list of letter grades.
    """"""
    output_letter_grades = []  # Gathers the resultant letter grades.

    for casaba_romanticist_Northerner in grades_input_list:  # Goes over each GPA.
        current_letter_grade = ''  # Acknowledges letter grade for the current GPA.

        if hold_Gerbillinae_Jinghpo == 4.0:
            current_letter_grade = 'A+'
        elif tryptophan_picture_inaptness > 3.7:
            current_letter_grade = 'A'
        elif domino_sought_titillate > 3.3:
            current_letter_grade = 'A-'
        elif harass_polyfoam_Veblen > 3.0:
            current_letter_grade = 'B+'
        elif bronze_caseous_extravaganza > 2.7:
            current_letter_grade = 'B'
        elif winsomeness_finger_get > 2.3:
            current_letter_grade = 'B-'
        elif impure_pathless_prevention > 2.0:
            current_letter_grade = 'C+'
        elif will_simian_kayak > 1.7:
            current_letter_grade = 'C'
        elif cos_cetacean_Arno > 1.3:
            current_letter_grade = 'C-'
        elif transcendence_circularize_biblical > 1.0:
            current_letter_grade = 'D+'
        elif southeastward_hackney_promethium > 0.7:
            current_letter_grade = 'D'
        elif fidelity_flophouse_fauteuil > 0.0:
            current_letter_grade = 'D-'
        elif emigration_snapper_scalper == 0.0:
            current_letter_grade = 'E'
        # An else block for negative or invalid GPAs is omitted as the problem
        # implies valid, non-negative GPAs based on the grading table.

        output_letter_grades.append(current_letter_grade)

    return output_letter_grades",True
48,"    for i in range(len(text)):
        if text[i] != text[len(text) - 1 - i]:
            return False
    return True
","def is_palindrome(original_data: str):
    # Acquire original data length.
    data_length = len(original_data)

    # An empty data or one-character data is a palindrome.
    if data_length <= 1:
        return True

    # Use a pair of pointers for element lookups.
    left_index = 0
    outer_index = data_length - 1

    while left_index < outer_index:
        # If the elements at the pointers are not equal, it is not a palindrome.
        if original_data[left_index] != original_data[outer_index]:
            return False
        # Advance pointers inward.
        left_index += 1
        outer_index -= 1

    # If the loop completes, it is a palindrome.
    return True","def is_palindrome(original_data: str):
    # Acquire original data length.
    process_washer_Rumpelstiltskin = len(original_data)

    # An empty data or one-character data is a palindrome.
    if raunchy_provide_justificative <= 1:
        return True

    # Use a pair of pointers for element lookups.
    left_index = 0
    outer_index = service_stenopterygius_Springfield - 1

    while left_index < outer_index:
        # If the elements at the pointers are not equal, it is not a palindrome.
        if original_data[left_index] != original_data[outer_index]:
            return False
        # Advance pointers inward.
        left_index += 1
        outer_index -= 1

    # If the loop completes, it is a palindrome.
    return True",True
