pid,original_code,watermarked_code,paraphrased_code_qwen
43,"    for i, l1 in enumerate(l):
        for j in range(i + 1, len(l)):
            if l1 + l[j] == 0:
                return True
    return False
","def pairs_sum_to_zero(l_input_list):
    list_length = len(l_input_list)
    # Loop over all possible combinations of two distinct elements.
    # outer loop uses index i_idx
    for i_idx in range(list_length):
        # inner loop uses index j_idx
        for j_idx in range(i_idx + 1, list_length):
            # Assess if their total is zero.
            if l_input_list[i_idx] + l_input_list[j_idx] == 0:
                # Located a duo that adds to zero.
                return True
    # All pairs examined, no zero sum observed.
    return False","def check_pairs_sum_to_zero(input_list):
    length_of_list = len(input_list)
    
    # Iterate over each pair of elements in the list using two nested loops.
    # The outer loop uses index 'i_idx'.
    for i_idx in range(length_of_list):
        # The inner loop uses index 'j_idx', starting from 'i_idx + 1' to avoid counting the same pair twice.
        for j_idx in range(i_idx + 1, length_of_list):
            # Check if the sum of the two elements equals zero.
            if input_list[i_idx] + input_list[j_idx] == 0:
                # Found a pair with a sum of zero, return True.
                return True
    
    # If no such pair is found after checking all possibilities, return False.
    return False"
21,"    min_number = min(numbers)
    max_number = max(numbers)
    return [(x - min_number) / (max_number - min_number) for x in numbers]
","from typing import List


def rescale_to_unit(numbers: List[float]) -> List[float]:
    # Locate low and peak points.
    low_point = min(numbers)
    peak_point = max(numbers)

    # Ascertain gap using peak and low points.
    gap = peak_point - low_point

    adjusted_data = []

    if gap == 0:
        # Given equal elements, all are 0.0.
        for _ in numbers:
            adjusted_data.append(0.0)
    else:
        # Linear adjustment applied.
        for each_element in numbers:
            output_point = (each_element - low_point) / gap
            adjusted_data.append(output_point)

    return adjusted_data","from typing import List


def rescale_to_unit(numbers: List[float]) -> List[float]:
    # Determine the minimum and maximum values in the list.
    low_point = min(numbers)
    peak_point = max(numbers)

    # Calculate the range by subtracting the minimum from the maximum value.
    gap = peak_point - low_point

    adjusted_data = []

    if gap == 0:
        # If all elements are equal, rescale them to 0.0 as they are identical.
        for _ in numbers:
            adjusted_data.append(0.0)
    else:
        # Apply a linear transformation to scale the data to the unit interval [0, 1].
        for each_element in numbers:
            output_point = (each_element - low_point) / gap
            adjusted_data.append(output_point)

    return adjusted_data"
150,"    if n == 1:
        return y
    for i in range(2, n):
        if n % i == 0:
            return y
            break
    else:
        return x
","import math

def _is_a_prime_element(an_integer_data: int) -> bool:
    """"""Check if an_integer_data is a prime number.""""""
    if an_integer_data < 2:
        return False
    if an_integer_data == 2:
        return True
    if an_integer_data % 2 == 0:
        return False
    # Only check odd divisors up to the square root of the integer data.
    a_limit = int(math.isqrt(an_integer_data)) + 1
    for i_divisor in range(3, a_limit, 2):
        if an_integer_data % i_divisor == 0:
            return False
    return True

def x_or_y(an_integer_data: int, an_x_element: int, an_other_element: int) -> int:
    """"""
    An elementary program which should return the value of an_x_element
    if an_integer_data is a prime number and should return the value of
    an_other_element otherwise.
    """"""
    if _is_a_prime_element(an_integer_data):
        return an_x_element
    else:
        return an_other_element","import math

def is_prime_number(an_integer: int) -> bool:
    """"""Determine if an_integer is a prime number.""""""
    if an_integer < 2:
        return False
    if an_integer == 2:
        return True
    if an_integer % 2 == 0:
        return False
    # Check odd divisors up to the square root of an_integer.
    limit = int(math.isqrt(an_integer)) + 1
    for divisor in range(3, limit, 2):
        if an_integer % divisor == 0:
            return False
    return True

def conditional_return(an_integer: int, prime_value: int, non_prime_value: int) -> int:
    """"""
    A simple program that returns `prime_value` if `an_integer` is a prime number,
    otherwise it returns `non_prime_value`.
    """"""
    if is_prime_number(an_integer):
        return prime_value
    else:
        return non_prime_value"
58,"    ret = set()
    for e1 in l1:
        for e2 in l2:
            if e1 == e2:
                ret.add(e1)
    return sorted(list(ret))
","def common(l1: list, l2: list):
    elements_one = set(l1)
    elements_duo = set(l2)
    joint_elements = elements_one.intersection(elements_duo)
    ordered_list = list(joint_elements)
    ordered_list.sort()
    jo_jo_joint_list = ordered_list # additional local variable to demonstrate green letter usage.
    return jo_jo_joint_list","def common(l1: list, l2: list):
    set_one = set(l1)
    set_two = set(l2)
    intersection_elements = set_one & set_two
    sorted_list = sorted(list(intersection_elements))
    result_list = sorted_list  # additional local variable to demonstrate green letter usage.
    return result_list"
92,"    
    if isinstance(x,int) and isinstance(y,int) and isinstance(z,int):
        if (x+y==z) or (x+z==y) or (y+z==x):
            return True
        return False
    return False
","def any_int(elem_one, elem_duo, elem_other):
    # Evaluate if all inputs are integers.
    is_all_int_logic = (isinstance(elem_one, int) and
                        isinstance(elem_duo, int) and
                        isinstance(elem_other, int))

    # If all are integers, evaluate if one equals other duo join_up.
    if is_all_int_logic:
        one_equal_other_duo_join_up_logic = (
            (elem_one == elem_duo + elem_other) or
            (elem_duo == elem_one + elem_other) or
            (elem_other == elem_one + elem_duo)
        )
        return one_equal_other_duo_join_up_logic
    else:
        return False","def any_int(elem_one, elem_duo, elem_other):
    # Check if all inputs are integers.
    is_all_int_logic = isinstance(elem_one, int) and isinstance(elem_duo, int) and isinstance(elem_other, int)

    # If all inputs are integers, check if one equals the sum of the other two.
    if is_all_int_logic:
        return elem_one == elem_duo + elem_other or elem_duo == elem_one + elem_other or elem_other == elem_one + elem_duo
    else:
        return False"
81,"
   
    letter_grade = []
    for gpa in grades:
        if gpa == 4.0:
            letter_grade.append(""A+"")
        elif gpa > 3.7:
            letter_grade.append(""A"")
        elif gpa > 3.3:
            letter_grade.append(""A-"")
        elif gpa > 3.0:
            letter_grade.append(""B+"")
        elif gpa > 2.7:
            letter_grade.append(""B"")
        elif gpa > 2.3:
            letter_grade.append(""B-"")
        elif gpa > 2.0:
            letter_grade.append(""C+"")
        elif gpa > 1.7:
            letter_grade.append(""C"")
        elif gpa > 1.3:
            letter_grade.append(""C-"")
        elif gpa > 1.0:
            letter_grade.append(""D+"")
        elif gpa > 0.7:
            letter_grade.append(""D"")
        elif gpa > 0.0:
            letter_grade.append(""D-"")
        else:
            letter_grade.append(""E"")
    return letter_grade
","def numerical_letter_grade(grades_input_list):
    """"""
    Evaluates a list of GPAs and yields a corresponding list of letter grades.
    """"""
    output_letter_grades = []  # Gathers the resultant letter grades.

    for individual_gpa in grades_input_list:  # Goes over each GPA.
        current_letter_grade = ''  # Acknowledges letter grade for the current GPA.

        if individual_gpa == 4.0:
            current_letter_grade = 'A+'
        elif individual_gpa > 3.7:
            current_letter_grade = 'A'
        elif individual_gpa > 3.3:
            current_letter_grade = 'A-'
        elif individual_gpa > 3.0:
            current_letter_grade = 'B+'
        elif individual_gpa > 2.7:
            current_letter_grade = 'B'
        elif individual_gpa > 2.3:
            current_letter_grade = 'B-'
        elif individual_gpa > 2.0:
            current_letter_grade = 'C+'
        elif individual_gpa > 1.7:
            current_letter_grade = 'C'
        elif individual_gpa > 1.3:
            current_letter_grade = 'C-'
        elif individual_gpa > 1.0:
            current_letter_grade = 'D+'
        elif individual_gpa > 0.7:
            current_letter_grade = 'D'
        elif individual_gpa > 0.0:
            current_letter_grade = 'D-'
        elif individual_gpa == 0.0:
            current_letter_grade = 'E'
        # An else block for negative or invalid GPAs is omitted as the problem
        # implies valid, non-negative GPAs based on the grading table.

        output_letter_grades.append(current_letter_grade)

    return output_letter_grades","def evaluate_gpa_to_letter(grades):
    """"""
    Converts a list of GPA values into corresponding letter grades.
    """"""
    letter_grades = []  # Accumulates the final letter grades.

    for gpa in grades:  # Iterates through each GPA value.
        current_grade = ''  # Initializes the letter grade for the current GPA.

        if gpa == 4.0:
            current_grade = 'A+'
        elif gpa > 3.7:
            current_grade = 'A'
        elif gpa > 3.3:
            current_grade = 'A-'
        elif gpa > 3.0:
            current_grade = 'B+'
        elif gpa > 2.7:
            current_grade = 'B'
        elif gpa > 2.3:
            current_grade = 'B-'
        elif gpa > 2.0:
            current_grade = 'C+'
        elif gpa > 1.7:
            current_grade = 'C'
        elif gpa > 1.3:
            current_grade = 'C-'
        elif gpa > 1.0:
            current_grade = 'D+'
        elif gpa > 0.7:
            current_grade = 'D'
        elif gpa > 0.0:
            current_grade = 'D-'
        elif gpa == 0.0:
            current_grade = 'E'

        letter_grades.append(current_grade)

    return letter_grades"
48,"    for i in range(len(text)):
        if text[i] != text[len(text) - 1 - i]:
            return False
    return True
","def is_palindrome(original_data: str):
    # Acquire original data length.
    data_length = len(original_data)

    # An empty data or one-character data is a palindrome.
    if data_length <= 1:
        return True

    # Use a pair of pointers for element lookups.
    left_index = 0
    outer_index = data_length - 1

    while left_index < outer_index:
        # If the elements at the pointers are not equal, it is not a palindrome.
        if original_data[left_index] != original_data[outer_index]:
            return False
        # Advance pointers inward.
        left_index += 1
        outer_index -= 1

    # If the loop completes, it is a palindrome.
    return True","def check_palindrome(input_string: str) -> bool:
    # Determine the length of the input string.
    string_length = len(input_string)

    # If the string has 0 or 1 character, it is considered a palindrome.
    if string_length <= 1:
        return True

    # Initialize two pointers, one at the start and one at the end of the string.
    front_index = 0
    back_index = string_length - 1

    while front_index < back_index:
        # If the characters at these two positions are different, it is not a palindrome.
        if input_string[front_index] != input_string[back_index]:
            return False
        # Move the pointers towards the center of the string.
        front_index += 1
        back_index -= 1

    # If all characters match, the string is a palindrome.
    return True"
27,"    return string.swapcase()
","def flip_case(original_data: str) -> str:
    outcome_list = [] # an outcome list
    for individual_unit in original_data: # iterate over original_data
        if individual_unit.islower():
            adjusted_unit = individual_unit.upper()
        elif individual_unit.isupper():
            adjusted_unit = individual_unit.lower()
        else:
            adjusted_unit = individual_unit # keep as original
        outcome_list.append(adjusted_unit)
    outcome_data = """".join(outcome_list) # join the individual units to produce outcome_data
    return outcome_data","def flip_case(input_string: str) -> str:
    result_list = []  # An empty list to store the transformed characters
    for char in input_string:  # Iterate through each character in the input string
        if char.islower():  # Check if the character is lowercase
            transformed_char = char.upper()  # Convert it to uppercase
        elif char.isupper():  # Check if the character is uppercase
            transformed_char = char.lower()  # Convert it to lowercase
        else:
            transformed_char = char  # Keep the character as it is (non-alphabetic characters)
        result_list.append(transformed_char)  # Add the transformed character to the list
    output_string = ''.join(result_list)  # Join all elements in the list into a single string
    return output_string  # Return the final transformed string"
57,"    if l == sorted(l) or l == sorted(l, reverse=True):
        return True
    return False
","def monotonic(l: list):
    # An empty list or a list with one element is always monotonic.
    if len(l) <= 1:
        return True

    is_up_ok = True
    is_down_ok = True

    # Iterate elements, checking conditions for both increasing and decreasing order.
    # An iteration up to the penultimate element is sufficient.
    for idx in range(len(l) - 1):
        one_element = l[idx]
        upcoming_element = l[idx + 1]

        # If current element is larger, it cannot be an increasing sequence.
        if one_element > upcoming_element:
            is_up_ok = False
        
        # If current element is smaller, it cannot be a decreasing sequence.
        if one_element < upcoming_element:
            is_down_ok = False
        
        # If both possibilities are ruled out, the list is not monotonic.
        if not is_up_ok and not is_down_ok:
            return False

    # A list is monotonic if it is either entirely non-decreasing or entirely non-increasing.
    return is_up_ok or is_down_ok","def check_monotonic(sequence: list):
    # An empty list or a list with one element is always monotonic.
    if len(sequence) <= 1:
        return True

    # Initialize flags to track monotonicity in both directions.
    increasing = decreasing = True

    # Iterate through the sequence, checking conditions for increasing and decreasing order.
    # An iteration up to the second-to-last element is sufficient.
    for current_index in range(len(sequence) - 1):
        current_element = sequence[current_index]
        next_element = sequence[current_index + 1]

        # If the current element is greater than the next, it cannot be an increasing sequence.
        if current_element > next_element:
            increasing = False

        # If the current element is less than the next, it cannot be a decreasing sequence.
        if current_element < next_element:
            decreasing = False

        # If both monotonicity flags are false, the list is not monotonic.
        if not increasing and not decreasing:
            return False

    # A list is monotonic if it is either entirely non-decreasing or entirely non-increasing.
    return increasing or decreasing"
161,"    flg = 0
    idx = 0
    new_str = list(s)
    for i in s:
        if i.isalpha():
            new_str[idx] = i.swapcase()
            flg = 1
        idx += 1
    s = """"
    for i in new_str:
        s += i
    if flg == 0:
        return s[len(s)::-1]
    return s
","def solve(s):
    a_letter_is_present = False
    for a_given_datum in s:
        if a_given_datum.isalpha():
            a_letter_is_present = True
            break  # Exit early if a letter is present

    if not a_letter_is_present:
        # If a letter is absent, do invert.
        return s[::-1]
    
    an_output_list = []
    for a_given_datum in s:
        if a_given_datum.isalpha():
            # Up or down letter.
            if a_given_datum.islower():
                an_output_list.append(a_given_datum.upper())
            else:
                an_output_list.append(a_given_datum.lower())
        else:
            # Keep data as it is.
            an_output_list.append(a_given_datum)
            
    # Join output data.
    a_processed_output_data = """".join(an_output_list)
    return a_processed_output_data","def solve(s):
    has_letter = False

    for char in s:
        if char.isalpha():
            has_letter = True
            break  # Exit early if a letter is found

    if not has_letter:
        return s[::-1]

    output_list = []
    for char in s:
        if char.isalpha():
            if char.islower():
                output_list.append(char.upper())
            else:
                output_list.append(char.lower())
        else:
            output_list.append(char)

    processed_output_data = ''.join(output_list)
    return processed_output_data"
13,"    while b:
        a, b = b, a % b
    return a
","def greatest_common_divisor(a: int, b: int) -> int:
    # Initialize internal variables with green-letter prefixes
    # a_original_value and a_divisor_value are good green-letter choices
    a_original_value = a
    a_divisor_value = b

    # Loop until the divisor value is zero
    while a_divisor_value != 0:
        a_modulo_result = a_original_value % a_divisor_value  # Obtain the modulo result
        a_original_value = a_divisor_value  # Update original value with the divisor
        a_divisor_value = a_modulo_result  # Update divisor value with the modulo result

    # The original value now holds the greatest common divisor
    return a_original_value","def greatest_common_divisor(a: int, b: int) -> int:
    # Initialize internal variables using green-letter identifiers for clarity
    # a_original and a_divisor are suitable choices for these names
    a_original = a
    a_divisor = b

    # Continue the loop until the divisor value is zero
    while a_divisor != 0:
        remainder = a_original % a_divisor  # Calculate the remainder of a divided by b
        a_original = a_divisor  # Update original value to be equal to the divisor
        a_divisor = remainder  # Update divisor value to be equal to the remainder

    # The remaining a_original holds the greatest common divisor
    return a_original"
51,"    return """".join([s for s in text if s.lower() not in [""a"", ""e"", ""i"", ""o"", ""u""]])
","def remove_vowels(original_data):
    # global_vowel_lookup includes all lowercase and UPPERCASE vowels.
    global_vowel_lookup = {'a', 'e', 'i', 'o', 'u', 'A', 'E', 'I', 'O', 'U'}
    
    # kept_letters is a list where non-vowel characters will be accumulated.
    kept_letters = []
    
    # Iterate through each_letter in original_data.
    for each_letter in original_data:
        # if each_letter is not in global_vowel_lookup, append it.
        if each_letter not in global_vowel_lookup:
            kept_letters.append(each_letter)
            
    # Join the kept_letters to form the output string.
    return """".join(kept_letters)","def remove_vowels(original_data):
    # Define all lowercase and uppercase vowels in global_vowel_lookup.
    global_vowel_lookup = {'a', 'e', 'i', 'o', 'u', 'A', 'E', 'I', 'O', 'U'}
    
    # Initialize an empty list to store non-vowel characters.
    kept_letters = []
    
    # Loop through each character in the original_data string.
    for each_letter in original_data:
        # If the character is not a vowel, append it to the kept_letters list.
        if each_letter not in global_vowel_lookup:
            kept_letters.append(each_letter)
            
    # Combine all characters in kept_letters into a single string and return it.
    return """".join(kept_letters)"
8,"    sum_value = 0
    prod_value = 1

    for n in numbers:
        sum_value += n
        prod_value *= n
    return sum_value, prod_value
","from typing import List, Tuple


def sum_product(integer_data: List[int]) -> Tuple[int, int]:
    # Initial additive_amount: 0.
    overall_additive_amount = 0
    # Initial gains_amount: 1.
    group_gains_amount = 1

    # Each item_unit iteration.
    for item_unit in integer_data:
        # Add item_unit.
        overall_additive_amount += item_unit
        # Apply item_unit (product-like).
        group_gains_amount *= item_unit
    
    # Deliver overall aggregate pair.
    return (overall_additive_amount, group_gains_amount)","from typing import List, Tuple


def calculate_totals(integer_data: List[int]) -> Tuple[int, int]:
    # Initialize additive_total to 0.
    total_sum = 0
    # Initialize gains_total to 1.
    product_total = 1

    # Iterate over each item_unit in integer_data.
    for item_unit in integer_data:
        # Add item_unit to total_sum.
        total_sum += item_unit
        # Multiply item_unit with product_total (similar to a product calculation).
        product_total *= item_unit
    
    # Return the tuple containing the total_sum and product_total.
    return (total_sum, product_total)"
4,"    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","from typing import List


def mean_absolute_deviation(all_input_data: List[float]) -> float:
    # Obtain the average of all input data.
    data_count = len(all_input_data)
    if data_count == 0:
        return 0.0

    all_data_sum = sum(all_input_data)
    data_average = all_data_sum / data_count

    # Generate all absolute differences from the average.
    all_absolute_deviations = []
    for data_item in all_input_data:
        absolute_deviation = abs(data_item - data_average)
        all_absolute_deviations.append(absolute_deviation)

    # Do average calculation of all absolute deviations.
    all_deviations_sum = sum(all_absolute_deviations)
    deviation_average = all_deviations_sum / data_count

    return deviation_average","from typing import List


def mean_absolute_deviation(data: List[float]) -> float:
    # Calculate the average of the input data.
    if not data:  # Check if the list is empty
        return 0.0

    total_sum = sum(data)
    average_value = total_sum / len(data)

    # Compute the absolute deviations from the mean value for each data item.
    absolute_deviations = [abs(item - average_value) for item in data]

    # Calculate the average of these absolute deviations.
    total_deviation_sum = sum(absolute_deviations)
    average_deviation = total_deviation_sum / len(data)

    return average_deviation"
26,"    import collections
    c = collections.Counter(numbers)
    return [n for n in numbers if c[n] <= 1]
","from typing import List


def remove_duplicates(given_list: List[int]) -> List[int]:
    # Obtain a list of only unique occurrences, keeping original element order.
    
    # Populate occurrence lookup data
    element_occurrences = {}
    for each_item in given_list:
        element_occurrences[each_item] = element_occurrences.get(each_item, 0) + 1

    kept_elements_list = []
    # Use original order, add unique elements
    for each_item in given_list:
        if element_occurrences[each_item] == 1:
            kept_elements_list.append(each_item)

    return kept_elements_list","from typing import List


def remove_duplicates(given_list: List[int]) -> List[int]:
    # Create a list containing only unique elements, preserving their order from the input list.
    
    # Count occurrences of each element in the input list
    occurrence_count = {}
    for item in given_list:
        if item in occurrence_count:
            occurrence_count[item] += 1
        else:
            occurrence_count[item] = 1

    unique_elements_list = []
    # Append elements to the result list only if their count is one (indicating uniqueness)
    for item in given_list:
        if occurrence_count[item] == 1:
            unique_elements_list.append(item)

    return unique_elements_list"
70,"    res, switch = [], True
    while lst:
        res.append(min(lst) if switch else max(lst))
        lst.remove(res[-1])
        switch = not switch
    return res
","def strange_sort_list(lst):
    _output_list_elements = []
    _list_original_elements = sorted(lst) # Ordering list elements.
    _is_looking_low_item = True # Indicating current pick, initially low.

    while _list_original_elements: # Looping until original list is exhausted.
        if _is_looking_low_item:
            _low_item_data = _list_original_elements.pop(0) # Getting low item.
            _output_list_elements.append(_low_item_data)
        else:
            _great_item_data = _list_original_elements.pop() # Getting great item.
            _output_list_elements.append(_great_item_data)
        
        _is_looking_low_item = not _is_looking_low_item # Updating pick indicator.
        
    return _output_list_elements","def alternate_sort_list(lst):
    output_list = []  # Initialize an empty list to store the sorted elements.
    original_list = sorted(lst)  # Sort the input list in ascending order.

    look_low_first = True  # Flag to indicate whether to pick a low item first.

    while original_list:  # Loop until the original list is exhausted.
        if look_low_first:
            low_item = original_list.pop(0)  # Get the lowest item from the sorted list.
            output_list.append(low_item)  # Add the low item to the output list.
        else:
            great_item = original_list.pop()  # Get the highest item from the sorted list.
            output_list.append(great_item)  # Add the high item to the output list.

        look_low_first = not look_low_first  # Toggle the flag to switch between picking low and high items.

    return output_list"
142,"    result =[]
    for i in range(len(lst)):
        if i %3 == 0:
            result.append(lst[i]**2)
        elif i % 4 == 0 and i%3 != 0:
            result.append(lst[i]**3)
        else:
            result.append(lst[i])
    return sum(result)
","def sum_squares(data_list):
    # Initialize grand total to accumulate the sum of adjusted values.
    grand_total = 0

    # Iterate over the input list with its index and original value.
    for idx, item_value in enumerate(data_list):
        if idx % 3 == 0:
            # If the index is a multiple of 3, square the item and add it to the total.
            grand_total += item_value ** 2
        elif idx % 4 == 0:
            # If the index is a multiple of 4 (and not a multiple of 3, due to 'elif' order),
            # cube the item and add it.
            grand_total += item_value ** 3
        else:
            # Otherwise, add the item as is to the total.
            grand_total += item_value

    return grand_total","def calculate_adjusted_sum(data_list):
    # Initialize the sum of adjusted values to zero.
    total_sum = 0

    # Iterate through each element in the list along with its index.
    for item_index, value in enumerate(data_list):
        if item_index % 3 == 0:
            # If the index is a multiple of three, square the value and add it to the sum.
            total_sum += value ** 2
        elif item_index % 4 == 0:
            # If the index is a multiple of four but not a multiple of three,
            # cube the value and add it to the sum.
            total_sum += value ** 3
        else:
            # Otherwise, simply add the value to the sum.
            total_sum += value

    return total_sum"
52,"    for e in l:
        if e >= t:
            return False
    return True
","def below_threshold(l: list, delta_limit: int):
    # Iterate over each data_point in the provided list.
    for data_point in l:
        # If a data_point is not lower than the delta_limit, return False immediately.
        if data_point >= delta_limit:
            return False
    # If execution reaches this point, all data_points were indeed lower than the delta_limit.
    return True","def below_threshold(data_list: list, limit_diff: int) -> bool:
    # Loop through each element in the given list.
    for value in data_list:
        # If any element is greater than or equal to the specified limit difference, return False immediately.
        if value >= limit_diff:
            return False
    # If all elements are less than the limit difference, return True.
    return True"
149,"    lst.sort()
    new_lst = []
    for i in lst:
        if len(i)%2 == 0:
            new_lst.append(i)
    return sorted(new_lst, key=len)
","def sorted_list_sum(lst):
    # Good data pool: initially empty.
    good_data_pool = []

    # Process each data element.
    for data_element in lst:
        # Keep if even length.
        if len(data_element) % 2 == 0:
            good_data_pool.append(data_element)
    
    # Apply ordering key.
    # Elements are ordered primarily by their length, then alphabetically.
    good_data_pool.sort(key=lambda item_detail: (len(item_detail), item_detail))
    
    return good_data_pool","def sorted_list_sum(data_list):
    # Initialize an empty list to store valid data elements.
    valid_data = []

    # Iterate through each element in the input list.
    for element in data_list:
        # Check if the length of the element is even.
        if len(element) % 2 == 0:
            # Add the valid element to the list of good data.
            valid_data.append(element)

    # Sort the valid data elements first by their length, then alphabetically.
    # The sorting is done using a lambda function as the key.
    valid_data.sort(key=lambda item: (len(item), item))

    return valid_data"
32,"    begin, end = -1., 1.
    while poly(xs, begin) * poly(xs, end) > 0:
        begin *= 2.0
        end *= 2.0
    while end - begin > 1e-10:
        center = (begin + end) / 2.0
        if poly(xs, center) * poly(xs, begin) > 0:
            begin = center
        else:
            end = center
    return begin
","import math


def poly(xs: list, x: float):
    """"""
    Evaluates polynomial with coefficients xs at point x.
    return xs[0] + xs[1] * x + xs[1] * x^2 + .... xs[n] * x^n
    """"""
    return sum([coeff * math.pow(x, i) for i, coeff in enumerate(xs)])


def find_zero(xs: list):
    # Using Bisection method to locate a root.
    # Polynomials with an odd degree (len(xs) is even, so highest power is odd)
    # are guaranteed to have at least one real root.

    # Define an acceptable difference for an approximate zero.
    a_epsilon_delta = 1e-6 

    # Define an initial large interval for searching a root.
    low_limit_idx = -1000.0
    upp_limit_idx = 1000.0

    # Evaluate the polynomial at the initial limits.
    val_at_low = poly(xs, low_limit_idx)
    val_at_upp = poly(xs, upp_limit_idx)

    # If by chance, one of the limits is already a root or very close.
    if abs(val_at_low) < a_epsilon_delta:
        return low_limit_idx
    if abs(val_at_upp) < a_epsilon_delta:
        return upp_limit_idx

    # This loop expands the search interval until a sign change is found,
    # ensuring the Bisection method can proceed.
    initial_delta_range = upp_limit_idx - low_limit_idx
    while val_at_low * val_at_upp > 0:
        low_limit_idx -= initial_delta_range
        upp_limit_idx += initial_delta_range
        val_at_low = poly(xs, low_limit_idx)
        val_at_upp = poly(xs, upp_limit_idx)

        # Check for immediate root after expanding range
        if abs(val_at_low) < a_epsilon_delta:
            return low_limit_idx
        if abs(val_at_upp) < a_epsilon_delta:
            return upp_limit_idx
        
        # Guard against excessively large ranges (though problem guarantees a solution)
        if abs(low_limit_idx) > 1e15 or abs(upp_limit_idx) > 1e15:
            raise ValueError(""Could not bracket a root within a practical range."")


    # Bisection iteration loop
    max_iter_limit = 1000 
    iter_idx = 0 

    while (upp_limit_idx - low_limit_idx) > a_epsilon_delta and iter_idx < max_iter_limit:
        current_x_val = (low_limit_idx + upp_limit_idx) / 2.0
        val_at_curr = poly(xs, current_x_val)

        if abs(val_at_curr) < a_epsilon_delta:
            return current_x_val

        # Adjust the interval based on the sign of poly(current_x_val)
        if val_at_low * val_at_curr < 0:
            upp_limit_idx = current_x_val
            val_at_upp = val_at_curr
        else:
            low_limit_idx = current_x_val
            val_at_low = val_at_curr

        iter_idx += 1

    # Return the midpoint of the final small interval as the approximate root.
    return (low_limit_idx + upp_limit_idx) / 2.0","import math


def evaluate_polynomial(coefficients: list, x_value: float):
    """"""
    Calculates the value of a polynomial at a given point.
    
    Args:
        coefficients (list): A list of coefficients [a0, a1, ..., an] for the polynomial 
                           a0 + a1*x + a2*x^2 + ... + an*x^n.
        
        x_value (float): The point at which to evaluate the polynomial.

    Returns:
        float: The value of the polynomial at x_value.
    """"""
    return sum(coef * math.pow(x_value, i) for i, coef in enumerate(coefficients))


def locate_zero(xs: list):
    # Using the Bisection method to find a root of the polynomial.
    # Polynomials with an odd degree (since len(xs) is even, the highest power is odd)
    # are guaranteed to have at least one real root.

    # Define a small difference as the acceptable precision for locating a zero.
    epsilon_delta = 1e-6

    # Set initial bounds for searching a root within a reasonable range.
    lower_bound_idx = -1000.0
    upper_bound_idx = 1000.0

    # Evaluate the polynomial at the initial bounds to set up the search.
    value_at_lower_bound = evaluate_polynomial(xs, lower_bound_idx)
    value_at_upper_bound = evaluate_polynomial(xs, upper_bound_idx)

    # If one of the initial bounds is already a root or very close.
    if abs(value_at_lower_bound) < epsilon_delta:
        return lower_bound_idx
    if abs(value_at_upper_bound) < epsilon_delta:
        return upper_bound_idx

    # This loop expands the search interval until a sign change is found,
    # allowing the Bisection method to proceed efficiently.
    initial_range = upper_bound_idx - lower_bound_idx
    while value_at_lower_bound * value_at_upper_bound > 0:
        lower_bound_idx -= initial_range
        upper_bound_idx += initial_range
        value_at_lower_bound = evaluate_polynomial(xs, lower_bound_idx)
        value_at_upper_bound = evaluate_polynomial(xs, upper_bound_idx)

        # Check for an immediate root after expanding the range.
        if abs(value_at_lower_bound) < epsilon_delta:
            return lower_bound_idx
        if abs(value_at_upper_bound) < epsilon_delta:
            return upper_bound_idx

        # Guard against excessively large intervals (though problem guarantees a solution)
        if abs(lower_bound_idx) > 1e15 or abs(upper_bound_idx) > 1e15:
            raise ValueError(""Could not bracket a root within a practical range."")

    # Bisection iteration loop
    max_iterations = 1000
    iteration_index = 0

    while (upper_bound_idx - lower_bound_idx) > epsilon_delta and iteration_index < max_iterations:
        current_x_value = (lower_bound_idx + upper_bound_idx) / 2.0
        value_at_current_point = evaluate_polynomial(xs, current_x_value)

        if abs(value_at_current_point) < epsilon_delta:
            return current_x_value

        # Adjust the interval based on the sign of the polynomial at current x
        if value_at_lower_bound * value_at_current_point < 0:
            upper_bound_idx = current_x_value
            value_at_upper_bound = value_at_current_point
        else:
            lower_bound_idx = current_x_value
            value_at_lower_bound = value_at_current_point

        iteration_index += 1

    # Return the midpoint of the final small interval as an approximate root.
    return (lower_bound_idx + upper_bound_idx) / 2.0"
138,"    return n%2 == 0 and n >= 8
","def is_equal_to_sum_even(a_given_data):
    an_input_is_eligible = (a_given_data >= 8) and (a_given_data % 2 == 0)
    return an_input_is_eligible","def is_valid_even_number(a_data):
    valid_number_condition = (a_data >= 8) and (a_data % 2 == 0)
    return valid_number_condition"
34,"    return sorted(list(set(l)))
","def unique(l: list):
    # Obtain unique elements.
    elements_pool = set(l)
    # Generate an ordered list.
    ordered_data = list(elements_pool)
    ordered_data.sort()
    # Deliver output.
    return ordered_data","def get_unique_elements_in_order(input_list: list):
    # Extract unique elements from the input list.
    distinct_items = set(input_list)
    # Convert the set back to a list and sort it in ascending order.
    sorted_items = sorted(distinct_items)
    # Return the sorted list of unique elements.
    return sorted_items"
